Direction	Timestamp
	
	
	
1	0
	
	
	
1	0.000106
	
	
	
1	0.000296
	
	
	
1	0.000359
	
	
	
1	0.000534
	
	
	
1	0.000632
	
	
	
-1	1.379433
	
	
	
-1	1.379433
	
	
	
-1	1.379433
	
	
	
-1	1.379433
	
	
	
-1	1.379433
	
	
	
-1	1.379434
	
	
	
-1	1.379434
	
	
	
-1	1.379434
	
	
	
-1	1.379434
	
	
	
-1	1.379435
	
	
	
-1	1.379435
	
	
	
-1	1.379435
	
	
	
-1	1.379435
	
	
	
-1	1.379435
	
	
	
1	1.379892
	
	
	
-1	1.383314
	
	
	
-1	1.383314
	
	
	
-1	1.383315
	
	
	
-1	1.383315
	
	
	
-1	1.383315
	
	
	
-1	1.383315
	
	
	
-1	1.383316
	
	
	
-1	1.383316
	
	
	
-1	1.383316
	
	
	
-1	1.383316
	
	
	
-1	1.383316
	
	
	
-1	1.383317
	
	
	
-1	1.383317
	
	
	
-1	1.383317
	
	
	
-1	1.383317
	
	
	
-1	1.383317
	
	
	
-1	1.383318
	
	
	
-1	1.383318
	
	
	
-1	1.383318
	
	
	
-1	1.383318
	
	
	
-1	1.383318
	
	
	
-1	1.383318
	
	
	
-1	1.383318
	
	
	
-1	1.383319
	
	
	
-1	1.383319
	
	
	
-1	1.383319
	
	
	
-1	1.383319
	
	
	
-1	1.38332
	
	
	
-1	1.38332
	
	
	
-1	1.38332
	
	
	
-1	1.38332
	
	
	
-1	1.383321
	
	
	
1	1.383896
	
	
	
-1	1.383992
	
	
	
-1	1.383993
	
	
	
-1	1.383993
	
	
	
-1	1.383993
	
	
	
-1	1.383993
	
	
	
-1	1.383994
	
	
	
-1	1.383994
	
	
	
-1	1.383994
	
	
	
-1	1.383994
	
	
	
-1	1.383994
	
	
	
1	1.384157
	
	
	
-1	1.397044
	
	
	
-1	1.397044
	
	
	
-1	1.397045
	
	
	
-1	1.397045
	
	
	
-1	1.397045
	
	
	
-1	1.397045
	
	
	
-1	1.397045
	
	
	
-1	1.397046
	
	
	
-1	1.397046
	
	
	
-1	1.397046
	
	
	
-1	1.397046
	
	
	
-1	1.397046
	
	
	
-1	1.397046
	
	
	
-1	1.397046
	
	
	
-1	1.397047
	
	
	
-1	1.397047
	
	
	
-1	1.397047
	
	
	
-1	1.397047
	
	
	
-1	1.397047
	
	
	
-1	1.397048
	
	
	
-1	1.397048
	
	
	
-1	1.397048
	
	
	
-1	1.397048
	
	
	
-1	1.397049
	
	
	
-1	1.397049
	
	
	
